Copper: ignoring background,,,,,,
Region of interest,,net count,time,barrier thickness,mu,mass coefficient
start,end,,,,,
590,740,16405,133,2,0.855678305,0.316917891
600,740,16346,133,2,0.857671902,0.31765626
630,700,6500,133,2,1.312318802,0.486044001
590,740,15897,247,3.2,0.738078753,0.273362501
600,740,15853,247,3.2,0.739064972,0.273727768
630,700,5594,247,3.2,1.060557785,0.39279918
590,740,8463,132,3.2,0.739278841,0.273806978
600,740,8696,132,3.2,0.73091159,0.270707996
630,700,2511,132,3.2,1.11506629,0.412987515
590,740,4633,133,4.5,0.661275338,0.244916792
600,740,4549,133,4.5,0.665426768,0.246454358
630,700,1522,133,4.5,0.905870111,0.335507448
590,740,6215,166,4.5,0.645248114,0.238980783
600,740,6255,166,4.5,0.643907852,0.23848439
630,700,1510,166,4.5,0.956882205,0.354400817
590,740,1508,96,6.1,0.618386714,0.229032116
600,740,1588,96,6.1,0.60997575,0.225916944
630,700,651,96,6.1,0.754046854,0.279276613
590,740,2587,154,6.1,0.607385031,0.224957419
600,740,2298,154,6.1,0.626867662,0.232173208
630,700,1104,154,6.1,0.74493518,0.275901919
590,740,2053,231,7.3,0.59475493,0.220279604
600,740,1984,231,7.3,0.599698673,0.222110619
630,700,859,231,7.3,0.482164649,0.1785795
590,740,2419,244,7.3,0.579782101,0.214734111
600,740,2258,244,7.3,0.589477578,0.218325029
630,700,776,244,7.3,0.503584789,0.186512885
590,740,1860,322,8.6,0.554950089,0.20553707
600,740,1884,322,8.6,0.553680493,0.205066849
630,700,771,322,8.6,0.460467048,0.170543351
590,740,7692,1501,8.6,0.568872301,0.210693445
600,740,7219,1501,8.6,0.576473069,0.213508544
630,700,3566,1501,8.6,0.4613768,0.170880296
,,,,,,
590,740,40623,99,0.9,0.71945893,0.26646627
600,740,40159,99,0.9,0.726763612,0.269171708
630,700,33398,99,0.9,0.551100877,0.204111436
590,740,93114,232,0.9,0.744044925,0.275572195
600,740,55528,232,0.9,1.312960337,0.486281606
630,700,75319,232,0.9,0.593746586,0.219906143
590,740,20676,140,2,0.834698549,0.309147611
600,740,20280,140,2,0.841910956,0.311818872
630,700,16.253,140,2,4.235246258,1.568609725
590,740,20156,133,2,0.821787691,0.304365812
600,740,19777,133,2,0.828822066,0.306971136
630,700,15636,133,2,0.775070423,0.28706312
590,740,20322,247,3.2,0.704504053,0.260927427
600,740,19844,247,3.2,0.710406783,0.263113623
630,700,15151,247,3.2,0.687715595,0.25470948
590,740,10714,132,3.2,0.708743534,0.262497605
600,740,10447,132,3.2,0.715094419,0.264849785
630,700,7901,132,3.2,0.695368972,0.257544064
590,740,6209,133,4.5,0.626906296,0.232187517
600,740,6018,133,4.5,0.632757689,0.2343547
630,700,4568,133,4.5,0.617920478,0.228859436
590,740,7941,166,4.5,0.621483915,0.230179228
600,740,7726,166,4.5,0.626491546,0.232033906
630,700,5746,166,4.5,0.616189404,0.228218298
590,740,2550,96,6.1,0.554915454,0.205524242
600,740,2423,96,6.1,0.562484851,0.208327723
630,700,1759,96,6.1,0.55884781,0.20698067
590,740,3482,154,6.1,0.581323821,0.215305119
600,740,3339,154,6.1,0.587392981,0.217552956
630,700,2520,154,6.1,0.577387327,0.213847158
590,740,3175,231,7.3,0.553950679,0.205166918
600,740,3025,231,7.3,0.559907247,0.207373054
630,700,2248,231,7.3,0.553663852,0.205060686
590,740,3390,244,7.3,0.552475093,0.204620405
600,740,3232,244,7.3,0.558340186,0.206792662
630,700,2431,244,7.3,0.550443131,0.203867826
590,740,3053,322,8.6,0.513390344,0.190144572
600,740,2925,322,8.6,0.517799255,0.191777502
630,700,2119,322,8.6,0.515462427,0.19091201
590,740,12175,1501,8.6,0.531538651,0.196866167
600,740,13408,1501,8.6,0.519750213,0.192500079
630,700,9674,1501,8.6,0.517885416,0.191809413
,,,,,,
590,740,33567,393,1,2.078860065,2.025637704
600,740,30916,393,1,2.163031881,2.044928461
630,700,14771,393,1,1.206540125,1.917816693
590,740,13791,153,1,2.025015575,2.017456857
600,740,12501,153,1,2.125125373,2.037549308
630,700,6083,153,1,1.150336201,1.900174274
590,740,4191,253,2,1.859522559,1.763465254
600,740,3946,253,2,1.890592144,1.778992234
630,700,1656,253,2,1.47719096,1.73652124
590,740,4148,245,2,1.848613452,1.770745384
600,740,3921,245,2,1.877704338,1.785007047
630,700,2098,245,2,1.342835504,1.737176439
590,740,3725,392,2.4,1.78116265,1.710517848
600,740,3342,392,2.4,1.827162509,1.724822345
630,700,1613,392,2.4,1.4244016,1.698596703
590,740,3564,445,2.4,1.852410941,1.712338489
600,740,3832,445,2.4,1.822993762,1.727066963
630,700,2000,445,2.4,1.387635351,1.695924397
590,740,1658,603,3.4,1.622029808,1.553386439
600,740,1295,603,3.4,1.695266189,1.568939739
630,700,554,603,3.4,1.446443117,1.578978394
590,740,1217,439,3.4,1.619619647,1.542851691
600,740,1037,439,3.4,1.667254694,1.555181538
630,700,522,439,3.4,1.370584041,1.559050874
590,740,352,721,3.8,1.906147529,1.496338722
600,740,586,721,3.8,1.772519426,1.516029523
630,700,292,721,3.8,1.509747362,1.54626015
590,740,486,505,3.8,1.727553157,1.489074084
600,740,592,505,3.8,1.676133163,1.505923445
630,700,286,505,3.8,1.421505535,1.53969526
,,,,,,
590,740,40646,393,1,0.183320993,0.178627663
600,740,39674,393,1,0.190743552,0.180328788
630,700,31988,393,1,0.106396836,0.169119638
590,740,15954,153,1,0.178572802,0.177906248
600,740,15560,153,1,0.187400827,0.17967807
630,700,12675,153,1,0.101440582,0.167563869
590,740,5831,253,2,0.163979062,0.1555084
600,740,5625,253,2,0.166718884,0.156877622
630,700,4348,253,2,0.130263753,0.153132384
590,740,5565,245,2,0.163017059,0.156150387
600,740,5382,245,2,0.165582393,0.157408029
630,700,4205,245,2,0.118415829,0.153190162
590,740,5067,392,2.4,0.157069017,0.150839316
600,740,4872,392,2.4,0.161125442,0.152100736
630,700,3684,392,2.4,0.125608607,0.149788069
590,740,5727,445,2.4,0.163351935,0.150999867
600,740,5501,445,2.4,0.160757827,0.152298674
630,700,4209,445,2.4,0.122366433,0.149552416
590,740,2404,603,3.4,0.143036138,0.136982931
600,740,2269,603,3.4,0.149494373,0.138354474
630,700,1557,603,3.4,0.127552303,0.139239717
590,740,1814,439,3.4,0.142823602,0.136053941
600,740,1731,439,3.4,0.147024223,0.137141229
630,700,1213,439,3.4,0.12086279,0.13748244
590,740,1918,721,3.8,0.168090611,0.131952268
600,740,1771,721,3.8,0.156306828,0.13368867
630,700,1121,721,3.8,0.133134688,0.136354511
590,740,1381,505,3.8,0.152341548,0.131311648
600,740,1289,505,3.8,0.147807157,0.132797482
630,700,805,505,3.8,0.125353222,0.135775596
